BookLove	23559652;21517132;18865060;17887196;19149106;840604;19270318;13293663;22114720;3460676;416955;10813374;2751134;4146999;23754877;346322;16778110;15373386;12678444;15119342;14579025;10417581;19737865;10043753;21049502;11498577;9697946;13369749;22301932;14793444;234447;18580768;18611794;8095294;12721524;5460698;13276800;12723990;18987733;873950;24165799;2765558;17026299;22259797;9404477;20353408;17004624;418881;5977435;4321908
LifeFiction	20471174;11816445;15852393;19080967;3395087;22002229;3250304;24496357;727889;23268190;14856632;17446769;15312813;23307643;8563807;6806632;1038066;3573980;9059236;6129853;4813736;21917170;17721434;826578;17864636;13233579;12770037;22231396;409138;4158834;2780651;14195646;885634;18744478;1738373;18636628;6706660;21540898;10944579;3465470;634094;9808937;469268;15906990;22827733;23378614;16943133;7835935;805477;23107423
DinosaurAtDusk	12160974;1923105;2707829;6785062;18301061;494936;8564092;19879876;1178514;22691884;1920201;4894102;7102453;19342117;13455084;6601567;3365258;24137671;4245339;14855555;22204909;19746805;18566446;21411193;1914468;2593589;5606893;2438423;16454222;6531145;1888434;21104564;22793338;7264831;18074312;10915299;1506182;537484;1016605;1065542;17499932;7461369;18984109;4239363;2084625;18155087;18517237;7396672;14841320;18361352
BrinaTsukino1996	7945153;2081652;5940373;20198983;20541626;22732543;4591962;5557442;23726998;5687293;22148476;4425893;21778447;18992104;2398304;5969341;15189914;5606824;11651220;6789904;2572976;7965982;18416153;2186073;22078165;6208918;1025254;17508725;1240876;638428;11276139;18637411;22616434;16805305;16638113;4880296;19055851;8785642;11625558;12135987;32867;18764758;488495;14532912;20989061;18820678;6074167;24287947;5479775;10438239
HawkeyeBlue	14979392;8951932;457467;18433835;18530386;3561248;14280228;17863649;16272899;22535968;14096790;13370241;2762150;296790;18574114;24556855;1495717;21588586;18686806;17901941;17530412;17665880;24241255;16598726;16217681;7061860;11982123;11679432;10997982;11851434;12685023;12791454;14041911;7305820;3362771;4171863;21911440;6838753;629925;8251753;18541447;9125605;1161896;12119469;10545774;10621326;13741674;1951329;8361874;3924913
SimplePleasantries	22437352;7415284;12624792;17326874;18607111;20655800;646967;3954877;17649521;12595484;1548767;16293221;12314703;990357;23740654;11611146;19861327;235725;11596698;13609071;18415058;9699431;13395837;12739176;13941531;20264059;11079144;5123711;18445358;830804;14844858;840658;7390543;20745215;4835390;22489246;131481;16439786;2692508;7868611;679394;18882625;6092184;5048866;7747222;11599731;4269039;380143;19971940;7660375
BringBackSomePie	18027056;6294541;22723984;4499568;2453384;12938853;16583366;5313704;5637211;18304880;13521117;19359319;10552594;23627746;23204629;16232495;18260717;632563;1175972;4781045;14791926;900837;10226990;5103689;20904116;17415389;12255066;14232939;18441323;18013664;21841471;15541524;14817764;16910169;4651266;20834237;12928740;8339002;8622541;5126858;22766488;9203198;18784684;19016326;4370039;10754202;18781390;5555657;20729975;1663190
Curlyblondexoxo	19361755;492663;1490293;13817619;14702418;8229532;8558611;3609741;600573;1040157;16791391;20330848;468080;17794358;19814356;4114219;18664735;16595399;3884353;16654186;10425369;633026;12668802;1439941;1111105;4589022;1838629;13414431;14796809;815091;14446518;108775;5712439;11256627;421120;9430742;6084885;21338632;14690553;8155016;6237376;754864;497718;600458;12922614;3203939;7415416;15406101;2568716;745051
WelpIAmAMess	12330387;3248750;5802028;13896600;3211619;708622;1587599;1538048;20056063;9401162;16513034;2033211;17879405;13112616;23206540;7164527;5585236;3290945;930184;20064367;18708292;23059201;8775373;6794008;19718410;5880169;3978493;12180297;203746;2574515;23991469;14593578;15460869;2667983;19821490;5258009;18164192;9871742;15454203;774616;11379873;24853390;2370443;7466382;1200559;24908881;16210364;3844471;7325044;4738199
tauntaun	17320973;19775854;821851;1451185;22722850;6129145;10599372;542915;2012355;4239999;19445614;14303253;22062172;5393972;871985;22842205;3123350;15657594;14464887;23715301;14438538;9410189;12808956;8810737;7027093;11045874;15407970;2817935;5104415;3837526;16287098;4751765;11361120;13061922;4018831;5337350;19473799;287393;2681711;20156227;8878675;18717274;12922683;18664714;15780771;248778;16599050;620563;23997979;11136345
QueenOfCollies	23805286;284012;18833431;16500566;21053279;510276;18355538;740164;24062335;2398106;2033190;14632313;13999476;23052184;21291896;19796779;2498930;6210496;4123063;14057649;20227102;13387647;2150313;14941403;23731621;458455;7798495;19131505;19431895;21249479;4389752;20152879;17089802;3750580;17112719;19660906;16390400;6465532;1259023;16715220;23124727;21101144;2693957;12050598;3454268;11375895;7661623;5692468;23645380;1558655
fangirl13	2175213;889470;14414199;17148398;7899091;2611868;7378264;21452998;14459604;705051;23761417;14684591;2239632;20642204;11366265;445141;14744558;23178496;4915468;19714654;18801214;20298562;4720349;3405332;7301953;7103380;14900774;4718912;21389323;4035244;8747329;1589171;1427962;14975240;20171992;24750934;7154891;18893248;518570;9557894;13201674;3664698;20530010;16639958;6053182;13891461;428727;13152147;6942610;5200694
Punk_Out	18203441;7190507;289452;10072115;10637196;654649;18046283;11737926;213920;22687162;1154544;19336018;11127105;1006112;6073504;2290991;402861;13223271;14941208;551536;16380791;1043617;1004646;6081714;554322;11970180;13402524;2036385;21113285;764729;18625642;959980;18029279;18456281;11609304;22578451;2229993;6427669;24531085;18936232;17582462;19082419;16242179;16770943;21614509;646352;14131827;5274701;15062507;467523
Plucky_Brit	17375858;825699;19079473;23403322;20544692;5280407;10628538;4257513;14710592;1031755;17131889;19021933;21204062;3550301;17277782;21575278;743058;11890647;12686424;23194585;17139809;15676818;13571043;23773531;22280188;15194564;15673872;15493761;12241713;432979;21387736;19097737;12171870;14709297;19962478;17009145;14814909;3562397;7708525;13698054;11698383;20658269;1584560;4143915;17162495;1684343;8884453;8100094;10906536;16721553
Akesato713	1260082;1185824;519215;19007239;12346782;13507578;7694173;231335;15651537;7415686;21770893;8820223;18809470;5662069;18753172;11224791;22970533;9697022;21679135;14275107;18903379;8022169;17316794;22180555;10270214;15402036;474473;1171311;21795829;6095060;15581238;16390889;20575667;18737536;21824734;21272930;21951865;10358919;16834225;9094075;1683947;8566726;13703397;520388;11909187;15218315;11791788;20073889;4261824;6835000
Isis_the_Sphinx	21201779;7285384;24145150;17399432;18854272;3960169;19271071;7009648;19228957;2265021;2476490;19744555;2236164;1720817;1610522;17290808;13361787;3221696;8278211;9259868;3482534;772610;16803892;10554672;24722674;458884;12406602;3468038;17137163;21760177;17947739;8359933;14350980;14810876;4382132;14091903;388490;5349122;17455697;17342870;14681399;7500561;7671964;852246;519277;2583974;23143951;15559071;5489966;5163167
