Run	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_0	55	1.0	1000	10	0.1444	0.1444	0.1444	0.0634
run_1	40	10.0	250	25	0.1594	0.1594	0.1594	0.0600
run_2	40	0.01	100	50	0.1286	0.1286	0.1286	0.0425
run_3	25	10.0	100	50	0.1251	0.1251	0.1251	0.0402
run_4	55	0.1	100	50	0.1291	0.1291	0.1291	0.0423
run_5	40	1.0	250	25	0.1584	0.1584	0.1584	0.0597
run_6	10	10.0	1000	5	0.0474	0.0474	0.0474	0.0161
run_7	25	1.0	250	50	0.1490	0.1490	0.1490	0.0556
run_8	10	10.0	750	5	0.0660	0.0660	0.0660	0.0217
run_9	40	0.1	750	25	0.1718	0.1718	0.1718	0.0741
run_10	25	0.1	100	5	0.1197	0.1197	0.1197	0.0380
run_11	25	1.0	750	25	0.1399	0.1399	0.1399	0.0619
run_12	10	0.001	1000	25	0.0513	0.0513	0.0513	0.0205
run_13	55	0.1	250	10	0.1521	0.1521	0.1521	0.0547
run_14	25	0.1	500	25	0.1605	0.1605	0.1605	0.0675
run_15	25	0.01	500	10	0.1460	0.1460	0.1460	0.0581
run_16	55	10.0	250	5	0.1372	0.1372	0.1372	0.0479
run_17	25	10.0	500	10	0.1493	0.1493	0.1493	0.0596
run_18	40	1.0	750	25	0.1677	0.1677	0.1677	0.0719
run_19	55	0.01	1000	25	0.1533	0.1533	0.1533	0.0701
run_20	25	0.1	250	5	0.1265	0.1265	0.1265	0.0437
run_21	25	10.0	1000	50	0.1072	0.1072	0.1072	0.0518
run_22	10	0.001	750	10	0.0734	0.0734	0.0734	0.0269
run_23	55	10.0	500	50	0.1909	0.1909	0.1909	0.0753
run_24	25	0.001	500	10	0.1467	0.1467	0.1467	0.0588
run_25	55	0.1	1000	50	0.1538	0.1538	0.1538	0.0714
run_26	25	1.0	500	50	0.1610	0.1610	0.1610	0.0664
run_27	40	10.0	750	50	0.1741	0.1741	0.1741	0.0768
run_28	10	0.001	750	5	0.0639	0.0639	0.0639	0.0211
run_29	40	0.01	500	5	0.1391	0.1391	0.1391	0.0530
run_30	55	0.001	250	10	0.1499	0.1499	0.1499	0.0537
run_31	40	10.0	250	10	0.1517	0.1517	0.1517	0.0554
run_32	55	0.01	500	5	0.1418	0.1418	0.1418	0.0527
run_33	25	0.001	1000	5	0.0933	0.0933	0.0933	0.0406
run_34	55	0.001	100	25	0.1275	0.1275	0.1275	0.0419
run_35	55	0.01	250	10	0.1526	0.1526	0.1526	0.0546
run_36	55	0.001	750	25	0.1856	0.1856	0.1856	0.0783
run_37	55	1.0	1000	25	0.1547	0.1547	0.1547	0.0701
run_38	25	10.0	100	10	0.1240	0.1240	0.1240	0.0394
run_39	25	0.001	100	10	0.1243	0.1243	0.1243	0.0396
run_40	55	0.1	1000	10	0.1453	0.1453	0.1453	0.0629
run_41	55	1.0	500	10	0.1694	0.1694	0.1694	0.0660
run_42	40	10.0	100	10	0.1271	0.1271	0.1271	0.0413
run_43	25	10.0	500	50	0.1619	0.1619	0.1619	0.0675
run_44	55	10.0	750	50	0.1872	0.1872	0.1872	0.0799
run_45	10	10.0	500	50	0.1015	0.1015	0.1015	0.0361
run_46	10	10.0	100	25	0.1168	0.1168	0.1168	0.0350
run_47	10	0.1	750	25	0.0772	0.0772	0.0772	0.0296
run_48	25	0.001	1000	25	0.1072	0.1072	0.1072	0.0507
run_49	55	0.01	100	5	0.1191	0.1191	0.1191	0.0381
run_50	55	1.0	1000	5	0.1215	0.1215	0.1215	0.0505
run_51	55	0.01	750	25	0.1849	0.1849	0.1849	0.0783
run_52	55	1.0	100	50	0.1276	0.1276	0.1276	0.0420
run_53	25	1.0	1000	5	0.0916	0.0916	0.0916	0.0388
run_54	40	0.1	750	10	0.1582	0.1582	0.1582	0.0671
run_55	55	10.0	750	5	0.1459	0.1459	0.1459	0.0583
run_56	25	0.1	1000	50	0.1066	0.1066	0.1066	0.0514
run_57	10	0.1	100	25	0.1175	0.1175	0.1175	0.0351
run_58	10	1.0	1000	5	0.0456	0.0456	0.0456	0.0156
run_59	25	0.001	750	50	0.1457	0.1457	0.1457	0.0654
run_60	55	0.001	100	10	0.1252	0.1252	0.1252	0.0407
run_61	40	10.0	500	25	0.1813	0.1813	0.1813	0.0738
run_62	25	10.0	750	25	0.1413	0.1413	0.1413	0.0619
run_63	10	0.01	100	5	0.1129	0.1129	0.1129	0.0331
run_64	55	0.001	100	5	0.1188	0.1188	0.1188	0.0378
run_65	40	0.01	500	25	0.1815	0.1815	0.1815	0.0737
run_66	10	1.0	100	5	0.1131	0.1131	0.1131	0.0333
run_67	55	0.1	250	5	0.1356	0.1356	0.1356	0.0474
run_68	40	0.001	250	10	0.1486	0.1486	0.1486	0.0542
run_69	55	1.0	750	50	0.1857	0.1857	0.1857	0.0795
run_70	40	0.001	1000	10	0.1307	0.1307	0.1307	0.0589
run_71	25	10.0	250	25	0.1478	0.1478	0.1478	0.0552
run_72	40	1.0	250	5	0.1362	0.1362	0.1362	0.0482
run_73	40	0.001	500	25	0.1818	0.1818	0.1818	0.0736
