Run	model	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_1	ALS	88	0.0022803493229237052	434	33	0.1805	0.1805	0.1805	0.0660
run_2	ALS	70	0.005855068877103725	524	95	0.1960	0.1960	0.1960	0.0766
run_3	ALS	84	0.012829604860496637	655	97	0.2008	0.2008	0.2008	0.0806
run_4	ALS	58	0.0038558522434975844	412	21	0.1781	0.1781	0.1781	0.0671
run_5	ALS	47	0.005006171384000818	570	66	0.1925	0.1925	0.1925	0.0782
run_6	ALS	89	0.008970338317818877	659	78	0.2003	0.2003	0.2003	0.0804
run_7	ALS	71	0.005706941050121836	677	82	0.1999	0.1999	0.1999	0.0820
run_8	ALS	84	0.007339580691639677	672	16	0.1838	0.1838	0.1838	0.0715
run_9	ALS	69	0.020568819192098062	419	69	0.1860	0.1860	0.1860	0.0698
run_10	ALS	67	0.01629014738038454	731	79	0.1960	0.1960	0.1960	0.0819
run_11	ALS	55	0.03255747655174061	749	92	0.1886	0.1886	0.1886	0.0808
run_12	ALS	43	0.004088789257599416	513	75	0.1885	0.1885	0.1885	0.0760
run_13	ALS	66	0.003808495573436307	487	14	0.1781	0.1781	0.1781	0.0670
run_14	ALS	91	0.004781418762485105	413	36	0.1764	0.1764	0.1764	0.0634
run_15	ALS	71	0.012128519250128176	424	70	0.1859	0.1859	0.1859	0.0697
run_16	ALS	54	0.005616084331240251	531	72	0.1948	0.1948	0.1948	0.0777
run_17	ALS	65	0.003306950547492358	450	23	0.1840	0.1840	0.1840	0.0699
run_18	ALS	66	0.02294867882215483	460	23	0.1839	0.1839	0.1839	0.0697
run_19	ALS	43	0.004878321179104503	672	88	0.1859	0.1859	0.1859	0.0791
run_20	ALS	55	0.002635081693668298	726	97	0.1899	0.1899	0.1899	0.0802
run_21	ALS	75	0.0031883872526538943	748	77	0.1972	0.1972	0.1972	0.0823
run_22	ALS	93	0.01579288801101274	515	25	0.1824	0.1824	0.1824	0.0682
run_23	ALS	60	0.0146052229930012	486	62	0.1939	0.1939	0.1939	0.0754
run_24	ALS	99	0.01560308874608526	637	73	0.1998	0.1998	0.1998	0.0785
