index,user,count
0,Opheliad,7167
1,Terrenis,6754
2,EmuSam,5678
3,norwich36,5107
4,Polyglot17,4681
5,paleojen,4659
6,Arrow_ShadowWolf,4541
7,Khory,4444
8,kaydq,4420
9,adevotedreader,4278
10,mammal,4270
11,IgnisAlis,4249
12,Narshalla,4235
13,AevsCreator,4207
14,DystopiaEm,4185
15,PeaceLily,4165
16,Yodes,4141
17,janet1982,4056
18,remramrom_33,3989
19,Oscar_Neko,3938
20,insomnia1999,3844
21,wenchred,3831
22,PetronellaRose,3757
23,zacharypay1_Alisa,3744
24,roguebowtie,3741
25,kaos_sparrow,3735
26,Jade01,3724
27,Amboriel,3723
28,Bluebird_Rose,3707
29,jjbailey188,3697
30,kiaraaine,3668
31,Kepiblue,3652
32,TwoHeartsAreBetterThan1,3651
33,shekelash,3639
34,herberta2006,3631
35,wynnesome,3593
36,BookSmartMione,3578
37,Collegegrrrl,3576
38,seekeronthepath,3554
39,punkrockpookie,3552
40,Amarin_Rose,3511
41,shimmoril,3501
42,mls15,3500
43,samandriel,3496
44,Annaelle,3495
45,Clymenestra,3495
46,weepingnaiad,3456
47,inshadowsoflove,3416
48,tigrislilium,3410
49,dreyrugr,3409
50,misterBee,3369
51,Thatsawkward,3358
52,LilyT,3335
53,Possum33,3306
54,BlueWitch,3258
55,Ibreathebooks_42,3250
56,StarrLightning,3248
57,frostfalcon,3213
58,msilverstar,3213
59,RoozetteR,3205
60,ncee,3193
61,Kyaraelf,3177
62,Kataleena,3175
63,Meatball42,3121
64,MJ1342,3113
65,Caedesdeo,3112
66,silentwatcher,3110
67,leiramesiuol,3109
68,KestrelHill,3085
69,mariana_oconnor,3082
70,2003_M,3081
71,AnonEhouse,3066
72,moscatete,3057
73,Shadowrayven,3013
74,pokermaniac039,3008
75,T_For_Days,3000
76,harryhermionerw,2997
77,MonicaOP,2994
78,Brynhildr,2994
79,supersockie,2985
80,debwalsh,2970
81,baidati,2966
82,Tzi,2958
83,Sachmis,2949
84,Eomereomund,2947
85,magicath14,2945
86,keykook,2943
87,msMynx,2941
88,MaryAlice,2926
89,bekah_curlygirl,2923
90,Alannajen,2914
91,stark_raving_mad,2892
92,lwdagreat,2880
93,Minlin,2871
94,supergreak,2858
95,titzonmars,2856
96,thudworm,2855
97,Horatio_Is_King,2854
98,VioletaAsh,2851
