MrsNoggin	732536;408478;520775;3817609;3532880;4266441;422076;396808;434332;380087;317878;1527341;3150002;460559;2130477;6335284;662044;109628;3127124;4433063;3167780;2114214;4831541;803454;1717166;373181;2081859;4806749;401626;551094;325839;314102;477543;922826;304632;2619716;1892094;289452;6912172;1497430;3341162;1952436;3210581;2763539;1609838;893372;1581134;2262255;302348;652230
Mewillia	7123282;8094982;7987576;8574727;8729386;4085146;5475338;7358929;17888651;6584314;5841514;7735717;18076109;5569438;8546104;7188227;11055354;7670647;11026575;8576425;8009533;4986538;8011111;8720755;12145719;9206615;8809633;4619520;9176845;6727810;10993428;11085972;15863577;4535052;10700568;7610851;13562586;4480916;4174128;9006706;4285197;10818108;7251088;5152415;7803361;7370437;4228119;17987291;6747661;5078344
MicrowavingMarshmallows	1500191;4181493;3456710;3709507;7059361;982678;771491;5592727;7166972;6914068;1933428;3440921;1239979;997455;7254094;8271254;6948331;7861807;389598;7035076;1788448;4219290;2304890;5339822;7227124;6941740;2661572;13343310;4573473;4059232;3855538;662067;1837717;4329462;2785958;344366;2112135;533227;863401;4319715;1050769;3230642;1173584;4408676;545242;6894469;399938;1010906;1433230;641017
Sashka_The_Spy	1144642;5508173;2740184;3456710;1533986;3921295;2262255;1889694;835829;381185;2518694;2347790;2500892;13414524;3723433;8880646;2695790;2192661;2796749;1759139;5076952;3341162;732536;1497430;1704596;2560157;6030703;4806749;2533973;4719176;5275091;2652689;1439569;1551293;2121336;2256579;1492894;3387245;462561;652230;401961;2081859;1430413;13220799;5318270;4512384;5373050;2566490;3551444;4064119
emma78	1037398;749512;559221;2125551;1036051;934375;960306;455917;366111;369436;1073832;397785;531173;411599;360893;730488;1555067;358639;662044;1033430;297329;455979;2479028;656488;363949;2505758;422214;2743259;515016;445791;465424;984883;440364;463849;494224;400095;286050;1108260;1059055;581229;761335;839842;268312;949597;370346;369959;318364;2368874;501106;812217
clumsymusican	764416;1543403;1764145;533227;906758;1029557;1696946;531466;364902;1190823;2785958;3696803;2538674;515016;670993;1014065;628706;490350;2057796;6407713;1012248;1022116;2026827;850883;771491;4846088;4844738;528702;1980960;3447959;1034695;7353286;1123047;1684328;2118132;284475;562412;1848244;1431217;501828;4898266;3204647;2092392;3675630;492937;2642360;2471927;1098164;473284;1975305
FriedChickenNisha	5761291;109628;17129273;530162;4122708;426854;16736478;1123649;454639;19451212;5964175;8538199;1101999;2727098;4137015;11899308;13539849;11978871;20034619;736332;16876644;15878700;14761337;8291485;1999443;2577506;3515888;747827;2592647;8385013;14593578;3072047;964307;274680;5460911;20168623;3355412;813958;18792178;2527838;8135416;12093651;10828515;4665666;14283357;14908799;20810237;3945526;6403171;4357781
ChrysosArgentum	424771;310001;2435852;8032276;12740235;1038355;514127;357714;2742059;461963;3260612;2697560;12680919;340755;12733320;14580153;8640694;13179924;698460;534404;2573942;2556953;7308373;457048;564758;997824;2583080;411457;6595060;346736;3583365;391425;887344;13361469;6756136;14727342;1155790;12929862;18614458;15957095;18634708;5183057;213786;13473198;597285;649177;14624514;516232;6066694;363041
Silver_angelfox	17965217;16953933;13279728;9718154;12964401;15599343;11505306;10608267;15492474;17794769;18322112;9570653;7986607;15358611;11687061;12740580;15858081;7684219;13148322;11554599;17545268;11246709;17067113;14404269;11724210;15930653;19018297;11078946;10935840;12946365;14750820;18236702;19076542;13408638;12312570;12860565;7761370;14708847;7104691;16872378;12226641;15696312;10953375;12747282;12098352;13808895;16531151;11170971;17293931;10242380
Potterless12	16428740;16009475;9416270;19268080;10329185;7759798;8804272;8558167;10418499;19126699;13071240;15027587;11513964;4744337;10386753;18561706;11716026;18444731;19477006;7980853;11317848;12934737;18726361;6357646;15602853;18857029;10585218;11889357;7422865;11996385;11861055;7394815;17410736;18261035;9078265;14854787;17566229;11104845;6558241;11971608;3824536;10829280;13702731;15541941;14087571;13950219;23217244;11620953;9056029;4147854
AngelwithMooseandSquirrel	15952844;17593775;15992438;18069878;14727545;16008062;18554461;18074675;15785469;18706516;15186398;16323971;16311455;14512944;17868323;13343310;15898122;15891258;18291839;15897369;18048440;15850722;17300390;16660159;17606027;13814664;17418701;15995465;15059984;17565155;12448572;15540699;18115937;15732231;18364664;16115951;18069506;15397608;20754368;17503247;16247288;12634773;15899934;15191246;18036509;17541443;16863178;16067276;17523161;20245306
Juulna	5971312;434332;18147026;4187415;11618775;16584065;13567785;11463501;11228439;5791156;14248977;8812936;13522539;17486261;109628;3265895;11311536;11679261;13695336;14806464;8091886;6425053;11498253;2619716;5964175;3841261;14062380;6488113;15268041;15393336;7004545;2295017;6314905;7185638;7071532;4516170;14457363;14962865;9837125;268811;21232013;20512625;3192164;13112616;8735506;14815385;10163882;3245423;16335944;4079083
Mitsuky	4781162;1948845;1137607;1163358;924502;4030747;4126650;1398931;8106163;698460;5270225;13279728;663795;4030804;2515793;5183057;3318416;7792681;5143628;1075072;2017911;2188188;5128100;4527336;3542309;5168867;7725712;11155746;767515;954882;2528240;413198;1049838;5150753;5239613;809878;982287;589367;415181;396378;503478;2158662;649177;3988525;8640574;2803196;10834872;6831724;603307;4978777
xxsnailxx	8032276;424771;597285;2435852;399661;790194;453030;3260612;7833925;213786;2697560;14518872;7308373;1155790;310001;12733320;516232;12837867;799713;877581;454490;4275582;14352744;5539883;4826687;9553670;419550;2742059;21387736;19388674;8044639;2096055;13473198;12740235;566228;499123;2556953;5143163;14624514;2188941;12853515;10942413;14871353;14717036;15957095;814213;12802656;411457;514127;13026732
Jeeun	19191925;11575098;12039147;15675888;18365228;20293852;19993180;19018297;20143174;19848187;12712254;12469952;17545268;9570653;23481106;19328779;18270659;22632373;20079640;13408638;22064350;15260064;14884748;19202923;22194055;16914366;22394593;16586624;23243986;17464943;14764346;15625056;16878510;21347236;16953933;17067113;19076542;18742357;12100446;13541592;18591019;14881745;21289700;11724210;12396615;14990903;19328089;16139069;19973782;20162191
anger_ieJ9	3913249;5152415;2529287;2495786;3387245;3946081;3921295;3551444;3435413;4111735;1857966;3556772;4285197;4086358;4357538;3331688;2611931;2560157;3379157;4512384;3514748;6237298;4445123;2500892;2518694;1679630;3480719;4348271;5292926;6072283;3189626;11531490;9527897;4557897;3509063;3098855;3637617;2566490;1797448;6606055;3267362;2094792;3186191;2669084;2796119;4369607;2505551;2395709;2121336;5146940
charlestonIguess	5329409;5417660;389598;571547;958225;7298911;9570653;1425172;325839;515016;528702;4831541;426854;3532880;777173;1892094;4128856;460559;562901;5159573;491817;399938;3723433;904690;1304998;3817609;289452;530162;433823;270081;8292929;3440921;3355412;4433063;1466107;1533986;2671961;540142;3447959;396808;247356;436193;324204;520775;6224899;3254972;532379;536146;2226513;12784674
kessarin	4721882;11871867;6612703;771491;3925072;4584114;5048866;6545266;5093456;5056588;5113310;3974116;2266395;2439581;11734389;1425172;3915508;11645625;3135464;4056835;7282129;5097524;1886316;5047408;4497936;11592432;2584364;9604463;541606;4056706;1826662;386341;7722451;13518789;10534692;7316119;5510120;389598;391599;1587794;758820;4791404;7912393;3388781;12340332;8559370;436193;613489;4048561;5294249
Ravin	562078;986676;1109891;480310;866257;1175492;882176;945155;1083972;561087;960306;1167523;1616636;645882;938603;1150574;1375096;399592;1055895;1407844;365109;332055;1469494;286050;376853;397785;653452;661917;1664114;332973;830572;949597;2684276;4304439;409411;1047656;1870509;558575;440364;1010225;558972;2743259;1069969;527534;1179947;607594;715613;313576;389765;392024
Heat_witch	17374943;17619623;17513495;15872067;15987125;15578055;15739209;16068317;14767736;17595938;14929571;16965171;14016375;18879205;15061892;16174370;16563665;17127476;16014830;17667671;16730634;15201260;14035851;16816381;16101251;16337291;16525016;14124396;13499708;17168348;14606634;17506949;12607616;15722100;17129945;14751077;15761118;15120032;16899042;13886259;17379464;16116290;15673719;15634290;15976850;16768000;14363904;15501372;12754392;18367568
InkedMind_InkedFingers	15952844;13735815;16073411;14685344;15130262;16643849;18737161;17482958;16193540;15361896;15545421;15065981;16996950;16868608;15038564;14112594;15430101;14512944;13873011;15186398;17145332;16929960;14900636;18262253;11734389;16992453;16523912;15578055;15995465;17115806;20303506;18635455;15732231;20397427;16893849;16115951;18194099;18842041;17248811;19095922;16975656;16045982;14540409;15742707;18023078;16618763;14486631;18291839;15439815;16028225
LadyLorairiesTheAssassin	4307727;6913009;2162730;2295017;5314139;8334460;4788464;2130477;3265895;314168;5641282;12411198;777173;5464376;6314905;5421863;4724297;5223647;6086413;5367665;4984747;1824385;2450072;5496287;12462459;7511366;7924915;12966087;11133024;6563293;7188698;7004545;841973;6028375;6549109;3841261;7071532;15268041;5576026;5498399;6224899;5791156;7295872;5188154;7790137;9906317;8812936;11498253;11657343;6408202
DalekQueen7	5113310;6256720;4385534;6015775;4119985;3974947;7901665;8141192;5345615;4244211;5309861;6828880;14114553;4591800;4158951;4059655;7844875;5769787;4948750;6774208;4056706;4837397;6829390;3845014;7936447;7440214;4694849;4628847;4497936;5093456;4403018;3872620;10213718;4003888;7598425;4955233;6255967;4056835;5823388;3908755;3857530;6779629;4504521;3746893;4746689;7402432;3868843;3935185;4047289;4270086
SmanthaNightwolf1324	6314905;6016807;5188154;9108418;7472268;5641282;6224899;10935381;10927506;23084746;8736970;8540818;8812936;7924915;11443629;4307727;6756886;777173;5464376;5421863;5971312;9606773;5457311;7071532;4806332;10870053;6471514;2286249;6437095;11185374;11440845;11108196;9837125;16128020;9779657;18935629;11469324;14959022;20337409;1043794;4724297;6425053;7188698;4984747;12964902;7710391;6028375;10425813;6488113;4187415
Angst_BuriTTo	1744628;11134029;6652381;11341023;11842527;4646241;8685790;2664137;11288223;2247549;2641775;1609838;2319629;11387349;3169454;10025903;14810345;19266823;784688;6030703;4806749;11403627;1926288;589332;14814155;1815571;2363357;14245341;10588482;10057091;3771769;2304905;11961414;1073725;6890125;17099468;10445910;16280078;11323359;3579009;7766836;1908666;14863409;13928682;1867410;15835803;10804767;7932607;14005197;12590164
wyndsung	3667713;19388170;18960775;20264224;5964175;16335944;16771753;5464376;551094;227890;12402507;388088;4664493;14215233;14062380;16090523;272086;13594284;109628;24483757;7295746;16876644;14852309;15947522;21785749;19773400;13112616;10635519;16848793;11738253;15666858;7004545;8091886;13442571;11314392;8291485;3841261;13769784;22579768;14224173;4221948;788330;5487035;5496287;10549016;12778365;20547923;4374098;18055157;11087019
TiredEntity	5363684;768874;1948845;13930455;4494027;5807488;18577336;18786961;3641049;7468473;14080314;14568003;1075072;9401156;5150753;1045554;10167785;10633422;8559304;3240983;10912158;4275582;6987841;2307608;2765168;19311586;2573942;4624467;2188188;1064979;5168867;16377041;10920276;18047039;17306078;663795;2492243;14325027;13112184;6413530;14515086;11422461;10293020;13997580;5143628;1037081;6969889;10557176;17244146;14235663
