MrsNoggin	411599;109628;551094;540142;396808;3817609;426854;828942;4831541;3532880;520775;2368874;1892094;401961;662044;317878;438745;530162;1073832;361084;393688;304632;4433063;3355412;777173;750377;381185;3254972;270081;268811;434332;413306;1581134;1144642;285840;1493935;364739;1053487;2619716;302348;314102;293232;391599;441442;643340;401626;351786;616746;3127124;439460
Mewillia	9651719;6030703;8141059;9074386;3341162;10993428;8428507;8729386;8546104;16595354;6015883;6409654;8576425;18076109;6584314;11384292;11055354;7874188;8615512;7123282;12808824;6912172;11403627;14826038;13928682;8574727;1892094;7188227;9629429;5569438;16396661;4433063;2106210;8009533;7896619;7358929;12868785;12944949;13414524;7766836;4651146;11237757;5953900;845273;10452903;3777376;5483942;6829822;11865690;8582248
MicrowavingMarshmallows	1500191;4573473;3519683;6914068;1543403;1433230;771491;4521162;982678;3709507;3440921;4181493;7059361;997455;6894469;4059232;1010906;4408676;1431217;1050769;7166972;1752638;6948331;5592727;7035076;3456710;764416;1692041;8271254;1440232;732536;317878;906758;3723433;515016;2092392;533227;4219290;1617737;5093456;448050;7861807;5339822;8051815;1239979;2026827;870860;2016438;1704596;697711
Sashka_The_Spy	1704596;4433063;1497430;4806749;3341162;2505551;8880646;2500736;13414524;1533986;3723433;4064119;2192661;4285197;8615512;1889694;3130037;589332;5076952;2560157;3681648;2617406;2262255;5508173;13554312;784688;3456710;1581134;1892094;2533973;2121336;6015883;6912172;732536;5279723;2500892;5953900;5339822;3921295;1144642;1752638;3870733;3210581;2518694;3551444;3788446;1727840;8729386;1744628;2347790
emma78	562078;547763;934375;494224;409520;949597;289452;870860;945951;443962;437794;286050;397785;749512;656488;362295;580804;730488;848364;465424;389598;363949;2505758;391599;268312;462561;370346;958225;558575;1018959;652230;463849;381185;401961;551094;344082;411599;2743259;882176;984883;390219;433823;525371;1033430;559221;606836;750377;290320;422214;1155554
clumsymusican	533227;670993;5144936;317878;1696946;1692041;1975305;1543403;2785958;771491;1029557;515016;2264937;3447959;1466107;4196274;490350;2214561;2150154;6407713;2057796;2026827;3519683;1123047;562412;1181431;6003271;448050;1190823;3696803;231335;764416;4390772;284475;531466;5754022;3855538;3543680;850883;5235068;4219290;1500191;4366331;5592727;982678;1022116;7151066;2538674;1933428;1303822
FriedChickenNisha	5761291;530162;5964175;5204642;8538199;2346869;662044;7110997;2903630;13165461;17344631;2577506;401626;16771753;8717908;4221948;411599;15934673;5444717;11905683;1876641;4665666;13539849;4285857;2368874;16634945;17846375;3731302;3355412;811441;1952436;12608008;5598010;8540626;11926287;689528;393688;540142;8738446;3817609;109628;14283357;1101999;2306576;2745788;2774267;8540494;643340;7215922;3261773
ChrysosArgentum	5807488;7833925;357714;887344;476291;4624467;346736;8044639;6066694;420398;5296850;424771;13026732;3602877;5647564;9553670;13061922;14352744;6756136;2697560;373529;514127;5183057;518534;3120878;5143628;5363684;4146378;1037081;5096933;698460;15201332;8323411;9401156;12039147;14727342;1034803;6987841;5168867;8032276;12735828;14632650;17143313;4494027;363041;13361469;10920276;2766566;435799;12987438
Silver_angelfox	13454583;9570653;12964401;11687061;7684219;11078946;12039147;13408638;11985126;11478408;10985403;16465643;12740580;18322112;11241852;11322111;14776007;7986607;16994739;10953375;13466619;14538489;12860565;13808895;15684198;14515587;12917295;16953933;17293931;10797096;11505306;16035110;17067113;17965217;11484015;19076542;15621972;12097137;10572177;13102035;12597200;10920276;11575662;21347236;12786018;10608267;8106163;11652006;11536488;11536776
Potterless12	7474809;11104845;8085673;3824536;7759798;11971608;8804272;7980853;11861055;19268080;6437668;5798977;18261035;9631811;16164218;17834099;10829280;12345999;16009475;18694579;12422910;14999948;4639923;8114863;13489332;8133439;7422865;10418499;17781389;12502380;10727247;14207094;7086865;7949614;13871154;15914997;11046375;11294889;7422988;7394815;18865396;10329185;7353403;10860675;4744337;13968897;7678654;11214498;10957188;5740273
AngelwithMooseandSquirrel	15952844;15186398;17868323;16863178;16660159;15397608;16311455;13343310;14512944;17418701;15540699;18291839;15885396;14795183;17593775;15732231;15742707;15392868;14727545;18554461;17923709;15532461;16024268;17076755;18115937;18194099;18982813;12448572;13814664;15898122;17157551;17565155;15840945;15886749;16028117;15716466;16368275;17606027;16106933;18074675;15185423;16992453;15681438;15992438;19835743;15850722;15059984;17541443;18521035;15277443
Juulna	7188698;5489327;6314905;5464376;8091886;13841301;7071532;4187415;12966087;5855923;5964175;777173;3841261;6028375;4788464;15268041;16771753;4409729;2130477;8631502;6840778;3245423;8812936;4724297;11657343;17817479;14344197;7790137;6021727;3782125;11463501;1043794;16555685;10939701;11124243;6408202;8975281;5721355;11698548;15393336;6224899;314168;7004545;7838281;18107000;14995073;5496287;6425053;16876644;6845182
Mitsuky	12039147;13279728;8106163;5363684;5150753;10920276;413198;1163358;13997580;767515;603307;2765168;16610933;11322111;9908918;2492243;11722176;4227792;413357;18165320;589367;1965432;1948845;13361469;14979077;14744303;1981752;2766875;15345015;6578206;4030747;415181;424181;10567227;544088;3237650;414415;4961524;7423174;8192134;448088;10633422;5183057;12841461;985797;16654747;11498361;7944364;7580002;2017911
xxsnailxx	4275582;12837867;5807488;790194;465339;1034803;419550;424771;2095959;4076551;2697560;942576;12867669;357714;3260612;514127;4624467;3120878;213786;2556953;566228;1842742;809878;373529;5168867;887344;7505179;761571;446571;1037081;476291;399661;7833925;12957381;431422;4875187;974164;961659;346736;14689596;420398;12631455;1036957;433464;14352744;1246921;453030;5183057;814213;1658957
Jeeun	16586624;15684198;16531151;9570653;16465643;18322112;14776007;11687061;13454583;21433168;17545268;12964401;12860565;11078946;17293931;12098352;13307511;13148322;21347236;15523485;12039147;13466619;11241852;15492474;13808895;19076542;11478408;20143174;14903070;19191925;15260064;7684219;16994739;18158087;19018297;15675888;21354607;10797096;10572177;21486391;14299578;17067113;17954354;13408638;16953933;14515587;16914366;13102035;11985126;7986607
anger_ieJ9	3551444;3331688;4086358;2560157;2617208;6015883;4433063;4445123;2082951;3509063;2505551;3435413;3921295;3637617;3913249;2500736;3570218;2495786;589332;4348271;2518694;9651719;1679630;1581134;2796749;2106210;4512384;1668068;2153814;3341162;2695790;2648582;3600837;2529287;845273;4285197;4651146;4480916;5152415;1892094;3122672;5279723;2652689;3514748;2145912;3480719;4925263;2010777;2395709;4208274
charlestonIguess	381185;389598;551094;461340;426854;777173;391599;536146;4478759;525371;5712631;411599;1704596;1752638;1425172;1609838;520752;401961;520775;4128856;571547;4831541;289452;904690;325839;562901;1055361;532379;750377;393688;3456710;828942;314102;1167543;408478;436193;4527333;1892094;790633;1781638;1699244;2763539;5329409;958225;4806749;3817609;662044;270081;5227217;870860
kessarin	4497936;5093456;6632965;7282129;4262046;11734389;5113310;4445000;1867683;4072180;4232937;5056588;11900241;11592432;3723433;5031016;745113;11620395;5366507;533227;12912708;3974116;4970101;5712631;3915508;4433063;391599;732536;11871867;11709699;3709507;9604463;12556424;2584364;2026827;5388563;8141192;461677;4803449;4831541;8590750;3388781;2508068;11613213;6545266;6612703;4955233;4791404;771491;4721882
Ravin	562078;730488;859545;1167523;581229;580804;365109;547763;749512;286050;1096884;1178580;949597;615429;1122678;606836;934375;656488;665432;715613;937368;392024;870860;707558;2184258;1155554;440364;437739;363949;655986;645882;969329;542878;1555067;711356;344082;1023980;409520;938564;514683;1244602;930057;839842;1033430;968921;816914;855337;2185590;882176;1673606
Heat_witch	14742719;15673719;11672691;13753611;14767736;15437271;15872067;16068317;13886259;15185423;14371257;14858997;15104549;16525016;11633874;15485148;16015241;17986175;15674718;15201425;14482992;16685083;13681833;14806889;14035851;15439899;11734389;11483073;12754392;15844737;15262752;14244258;14811968;16116290;14363904;14751077;15976850;15785469;15995465;12634773;17513495;17482958;14245083;15473424;11574894;15739209;16576583;16100030;16278680;13274073
